Panel ID,Frequency_EMA,Monetary_EMA,Baby Cereal,Beer,Belacan,Bird Nest,Biscuits,Bouilon,Butter,CSD,Cake,Canned Product,Cereal Beverage,Cereals,Cheese,Chicken Essence,Choc/Nut Spread,Chocolate,Coconut Milk,Coffee,Condensed/Evap Milk,Confectionery,Cooking Oils,Cooking Sauces,Cordials,Creamer,Cultured Milk,Drinking Water,Eggs,Energy Drinks,Flour,Frozen Food,Fruit/Veg Juices,Ghee,Honey,Ice Cream,Instant Noodles,Instant Soup,Isotonic Drinks,Jam,Kaya,Liquid Milk,MSG,Margarine,Milk Powder-Adult,Milk Powder-Infant,Milk Powder-Kids,Peanut Butter,RTD Coffee,RTD Tea,Rice,Salad Dressing,Savoury Spread,Seasoning Powder,Snack,Soy Milk,Spagetti,Spirits,Sugar,Tea,Tonic Food Drink,Wine,Yoghurt Drink,Yoghurts,BMI,Income,Ethnicity,Lifestage,Strata,#HH,location
Panel 105043101,1.0,121.80969163417959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,11.199999999999989,0.0,0.0,0.0,0.0,0.0,16.0,0.0,7.8500000000001,0.0,5.599999999999994,2.4000000000000368,0.0,0.0,0.0,0.0,20.799999999999674,0.0,7.800000000000115,0.0,0.0,12.799999999999919,0.0,0.0,14.100000000000215,0.0,0.0,0.0,2.4000000000000368,0.0,0.0,22.900000000000006,15.7000000000002,0.0,0.0,6.300000000000099,0.0,0.0,24.0,0.0,0.0,3.599999999999945,0.0,0.0,0.0,0.0,12.0,0.0,12.5,0.0,0.0,0.0,Over Weight,Income 2000 - 2999,North Malay,Teens Aches,Rural,5 Member HH,North
Panel 105044101,1.109296101483062,17.465169168493702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.600000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Over Weight,Income 2000 - 2999,North Chinese,Matured Families,Rural,4 Member HH,North
Panel 105046101,1.499738845657549,27.852197955947318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.566666666666691,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Healthy,Income < 1500,North Malay,Teens Aches,Rural,5 Member HH,North
Panel 105048101,1.341910182276604,33.430868037895664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.900000000000059,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.400000000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79999999999997,0.0,0.0,0.0,0.0,0.0,Obese,Income 1500 - 1999,North Malay,Teens Aches,Rural,4 Member HH,North
Panel 105049101,12.767639694844483,1.1155646221559368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Over Weight,Income 3000 - 3999,North Malay,Teens and Toddlers,Rural,6 Member HH,North
Panel 105052101,1.2130966355811679,38.481154040229825,0.0,0.0,0.0,0.0,0.0,4.200000000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.0,4.199999999999972,0.0,0.0,0.0,0.0,9.80000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5999999999999988,0.0,0.0,0.0,0.0,11.199999999999934,0.0,0.0,0.0,0.0,0.0,Obese,Income < 1500,North Malay,Teens and Toddlers,Rural,7+ Member HH,North
Panel 105055101,1.7012855295199782,14.809063384295158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Under Weight,Income 1500 - 1999,North Malay,Matured Families,Rural,1-3 Member HH,North
Panel 105058101,1.6139738705073512,9.07217751205143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,22.700000000000014,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.300000000000007,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.700000000000014,0.0,0.0,0.0,0.0,0.0,Obese,Income < 1500,North Malay,Teens Aches,Rural,1-3 Member HH,North
Panel 105059101,25.011505752876435,0.5725790114364593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Under Weight,Income < 1500,North Malay,Matured Families,Rural,6 Member HH,North
Panel 105065101,1.1086770336509137,18.67920300507709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.966666666666656,0.0,0.0,0.0,0.0,0.0,0.0,2.300000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.799999999999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.800000000000002,0.0,0.0,0.0,0.0,0.0,Healthy,Income < 1500,North Malay,Teens and Toddlers,Rural,5 Member HH,North
Panel 105066101,1.7568600267957826,16.101785483109072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.399999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.90000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799999999999987,0.0,0.0,0.0,0.0,0.0,Under Weight,Income < 1500,North Malay,Teens Aches,Rural,1-3 Member HH,North
Panel 105068101,3.197940767493265,0.2085690395766354,0.0,0.0,3.0,0.0,4.550000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,6.900000000000018,0.0,6.0,2.0,6.5,0.0,0.0,0.0,10.200000000000014,0.0,0.0,0.0,0.0,4.79999999999998,0.0,0.0,3.7000000000000117,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.3499999999999948,0.0,0.0,0.0,0.0,3.600000000000014,0.0,0.0,0.0,0.0,Healthy,Income 3000 - 3999,North Malay,Teens and Toddlers,Rural,5 Member HH,North
Panel 106003101,1.040406273921449,76.58945177513726,0.0,0.0,0.0,0.0,2.8999999999999844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100000000000013,0.0,0.0,3.5999999999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,Healthy,Income < 1500,North Malay,Matured Families,Urban,4 Member HH,North
Panel 106004101,1.2137701309225601,33.28927765180255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Over Weight,Income >5000,North Chinese,Teens and Toddlers,Urban,6 Member HH,North
Panel 106006101,1.0196901850610018,20.924418461307965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.70000000000001,0.0,0.0,0.0,0.0,0.0,Obese,Income < 1500,North Malay,Teens Aches,Urban,5 Member HH,North
Panel 106012101,1.249972464564296,28.87624508548952,0.0,0.0,0.0,0.0,9.899999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.300000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Healthy,Income 3000 - 3999,North Chinese,Matured Families,Urban,1-3 Member HH,North
Panel 106014103,1.378074060371275,73.68007455682415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.200000000000025,0.0,0.0,0.0,4.675000000000023,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7999999999999825,0.0,0.0,0.0,0.0,0.0,23.600000000000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.100000000000014,0.0,0.0,0.0,0.0,0.0,Over Weight,Income 2000 - 2999,North Chinese,Teens Aches,Urban,5 Member HH,North
Panel 106016101,1.3084890534034475,20.18104660477599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.799999999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.800000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Healthy,Income 4000 - 4999,North Chinese,Matured Families,Urban,1-3 Member HH,North
Panel 106023104,1.063238980603524,23.343767074339596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.899999999999967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Over Weight,Income 2000 - 2999,North Chinese,Teens Aches,Urban,6 Member HH,North
Panel 106024101,1.4583464348975903,34.027791919589156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Healthy,Income >5000,North Chinese,Matured Families,Urban,4 Member HH,North
Panel 106047101,17.016010672001777,1.8978542698890821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Healthy,Income 2000 - 2999,North Malay,Teens and Toddlers,Urban,6 Member HH,North
Panel 106052101,3.3432192215517706,4.816660835168143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.39999999999999,0.0,22.400000000000006,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.0,Over Weight,Income 3000 - 3999,North Malay,Teens Aches,Urban,5 Member HH,North
Panel 106059101,1.0,30.57748419904229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Under Weight,Income >5000,North Chinese,Empty Nesters,Urban,4 Member HH,North
Panel 106060101,1.7873242526912452,15.875835209699176,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Healthy,Income >5000,North Chinese,Empty Nesters,Urban,1-3 Member HH,North
Panel 106061101,1.0415831737744765,55.09498025042637,0.0,0.0,0.0,0.0,10.90000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.600000000000001,0.0,0.0,0.0,4.700000000000028,3.8500000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.800000000000033,27.100000000000165,0.0,0.0,0.0,2.6000000000000005,9.30000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Healthy,Income 4000 - 4999,North Chinese,Empty Nesters,Urban,1-3 Member HH,North
Panel 106064101,3.8399212556701863,7.465987142159252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.699999999999992,0.0,0.0,0.0,0.0,0.0,Over Weight,Income 2000 - 2999,North Malay,Nesting Families,Urban,5 Member HH,North
Panel 106065101,1.8853988447127459,34.77818862569579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.700000000000014,0.0,0.0,0.0,0.0,0.0,Healthy,Income < 1500,North Malay,Matured Families,Urban,1-3 Member HH,North
Panel 106067102,1.2160922467112736,10.11456361243488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.100000000000002,0.0,0.0,2.5999999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8000000000000056,0.0,0.0,0.0,0.0,6.399999999999987,Over Weight,Income 3000 - 3999,North Chinese,Teens and Toddlers,Urban,7+ Member HH,North
Panel 106077101,1.4170426270879266,62.90491325400606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Over Weight,Income 3000 - 3999,North Malay,Teens and Toddlers,Urban,5 Member HH,North
